ident,actual_ident,scheduled_departuretm,scheduled_arrivaltm,origin,destination,aircrafttype,meal_service,seats_cabin_first,seats_cabin_business,seats_cabin_coach
FIN1337,,2020-05-06T13:10:00.000+0000,2020-05-06T16:15:00.000+0000,EFHK,EGLL,A319,"Business: Food for sale, Meal / Economy: Food for sale, Meal",0,1,143
AAL9005,FIN1337,2020-05-06T13:10:00.000+0000,2020-05-06T16:15:00.000+0000,EFHK,EGLL,A319,"Business: Meal / Economy: Food for sale, Meal",0,1,143
JAL6841,FIN1337,2020-05-06T13:10:00.000+0000,2020-05-06T16:15:00.000+0000,EFHK,EGLL,A319,Business: No meal / Economy: No meal,0,1,143
JTL6841,FIN1337,2020-05-06T13:10:00.000+0000,2020-05-06T16:15:00.000+0000,EFHK,EGLL,A319,Business: No meal / Economy: No meal,0,1,143
LAN5354,FIN1337,2020-05-06T13:10:00.000+0000,2020-05-06T16:15:00.000+0000,EFHK,EGLL,A319,Business: No meal / Economy: No meal,0,1,143
BAW3287,LOG3287,2020-05-06T15:40:00.000+0000,2020-05-06T17:10:00.000+0000,EGNS,EGLL,AT43,"Business: Meal / Economy: Snack or brunch, Meal",0,6,42
BAW5976,EIN176,2020-05-06T16:00:00.000+0000,2020-05-06T17:20:00.000+0000,EIDW,EGLL,A320,Economy: Food for sale,0,0,180
BAW7050,IBE3180,2020-05-06T15:05:00.000+0000,2020-05-06T17:30:00.000+0000,LEMD,EGLL,A320,Economy: Snack or brunch,0,0,180
IBE7450,BAW294,2020-05-06T22:05:00.000+0000,2020-05-07T05:50:00.000+0000,KORD,EGLL,B744,First: No meal / Business: No meal / Economy: No meal,14,86,175
IBE3180,,2020-05-06T15:05:00.000+0000,2020-05-06T17:30:00.000+0000,LEMD,EGLL,A320,"Economy: Snack or brunch, Food for sale",0,0,180
LAN5448,IBE3180,2020-05-06T15:05:00.000+0000,2020-05-06T17:30:00.000+0000,LEMD,EGLL,A319,Economy: Food for sale,0,0,144
AAL8686,IBE3180,2020-05-06T15:05:00.000+0000,2020-05-06T17:30:00.000+0000,LEMD,EGLL,A319,"Business: Snack or brunch / Economy: Snack or brunch, Food for sale",0,30,102
AAL6631,BAW493,2020-05-06T15:15:00.000+0000,2020-05-06T18:05:00.000+0000,LXGB,EGLL,,"Business: Meal / Economy: Food for sale, Meal",0,24,136
BAW493,,2020-05-06T15:15:00.000+0000,2020-05-06T18:05:00.000+0000,LXGB,EGLL,,"Business: Meal / Economy: Food for sale, Meal",0,24,136
BAW2136,EIN936,2020-05-06T16:20:00.000+0000,2020-05-06T17:40:00.000+0000,EGAC,EGLL,A320,Business: No meal / Economy: Food for sale,0,4,168
AZA208,,2020-05-06T15:20:00.000+0000,2020-05-06T18:10:00.000+0000,LIRF,EGLL,A320,"Economy: Refreshments, Lunch",0,0,180
ACA6894,EIN386,2020-05-06T16:25:00.000+0000,2020-05-06T17:55:00.000+0000,EINN,EGLL,A320,Business: No meal / Economy: Meal,0,4,168
BAW5944,EIN386,2020-05-06T16:25:00.000+0000,2020-05-06T17:55:00.000+0000,EINN,EGLL,A320,Economy: Food for sale,0,0,180
LAN5584,BAW767,2020-05-06T15:30:00.000+0000,2020-05-06T17:50:00.000+0000,ENGM,EGLL,A319,Economy: Food for sale,0,0,144
OMA5031,KLM1031,2020-05-06T15:35:00.000+0000,2020-05-06T16:55:00.000+0000,EHAM,EGLL,B732,Business: Meal / Economy: Meal,0,12,144
BAW5978,EIN178,2020-05-06T17:00:00.000+0000,2020-05-06T18:20:00.000+0000,EIDW,EGLL,A320,Business: No meal / Economy: Food for sale,0,4,168
EIN178,,2020-05-06T17:00:00.000+0000,2020-05-06T18:20:00.000+0000,EIDW,EGLL,A320,Business: Meal / Economy: Meal,0,4,168
KQA3220,AFR1080,2020-05-06T16:15:00.000+0000,2020-05-06T17:35:00.000+0000,LFPG,EGLL,A321,Business: No meal / Economy: No meal,0,82,130
UAL931,,2020-05-06T23:30:00.000+0000,2020-05-07T07:10:00.000+0000,KORD,EGLL,B78X,Business: Dinner / Economy: Dinner,0,44,274
